text,category
"Заказали 14.10.2017 , получили 25.10.2017
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать.
По поводу качества хороший пуховик.
Мех натуральный , съемный.
Буду продавать .",одежда
"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",одежда
Все отлично!!!,нет товара
"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",одежда
"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли",нет товара
"обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда
"Все как на фото, и цвет и форма.",нет товара
"Но рост 180 по колено,качество хорошее,доставка быстрая",одежда
Не подошло по размеру. Ткань тоже не понравилась,одежда
"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",одежда
"брак,очень растроенна",нет товара
криво пошита ткань. большой размер.,одежда
"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. ",одежда
"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно.",одежда
"Товар не получила, деньги не вернули!",нет товара
"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))",одежда
"Качество хорошее, большой вырез ссади",одежда
"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара
ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,одежда
"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы.",одежда
"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз.",одежда
"заказала размер L,чтобы было свободно(сама ношу S).По факту штаны на наш размер S,очень тугая резинка, кофта на наш размер M.Про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика(",одежда
"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL .",одежда
"Цвет черный а не темно синий , обидно. Шапка хорошая.",одежда
блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда
"Качество ткани хорошее.В блузке есть 1 большой минус не симетричны сделаны складки .Должны быть по центру ,а они с боку т.е.брак.Продовец по общению хороший.По размеру идеально.",одежда
"Я думала, что свитер будет более толстым , а на самом деле он тонкий. Свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . Продавец положил подарочек и ароматизаторы с запахом роз",одежда
"ткань очень тонкая,платье смотрится совсем по-другому",одежда
"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",одежда
заказ не пришёл! Деньги не вернули,нет товара
